      32      27
    0.00    0.00   80.00    0.00    0.00    0.00   80.00    0.00    0.00    0.00
    0.00    0.00  500.00    0.00    0.00   44.00  500.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00  310.00  300.00
       0       0       1       1       0       0       1       1       1       1
       0       0       1       1       0       0       1       1       1       1
       1       1       1       1       1       1       1
    0.00    4    1   -1.0    2   -1.1    3    1.0   24    0.3
   -0.40    2    1    1.0    4   -1.0
    0.00    2    1    1.0   22   -1.0
    0.00    2    2    1.0   26    1.0
    0.00    4    5   -1.0    6   -1.1    7    1.0   25    0.3
    0.00    4    5   -1.0    6   -1.1    8    1.0   25    0.3
    0.00    4    5   -1.0    6   -1.0    9    1.0   25    0.3
    0.00    4    5   -1.0    6   -0.9   10    1.0   25    0.3
    0.00    2    7   -1.0   21    2.4
    0.00    2    8   -1.0   21    2.4
    0.00    2    9   -1.0   21    2.4
    0.00    2   10   -1.0   21    2.4
   -0.32    2    4    1.4    5    1.0
    0.00    2    5    1.0   23   -1.0
    0.00    2    6    1.0   27    1.0
    0.00    4   11   -1.0   12   -0.4   13    1.0   22    0.1
   -0.60    2   11    1.0   14   -1.0
    0.00    2   11    1.0   24   -1.0
    0.00    2   11    1.0   21   -1.0
    0.00    2   12    1.0   26    1.0
    0.00    4   15   -0.4   16    1.0   17    1.0   23    0.1
    0.00    4   15   -0.4   16    1.0   18    1.0   23    0.1
    0.00    4   15   -0.4   16    1.0   19    1.0   23    0.1
    0.00    4   15   -0.4   16    1.0   20    1.0   23    0.1
    0.00    2   17   -1.0   21    2.2
    0.00    2   18   -1.0   21    2.2
    0.00    2   19   -1.0   21    2.2
    0.00    2   20   -1.0   21    2.3
   -0.48    2   14    1.4   16   -1.0
    0.00    2   16    1.0   25   -1.0
    0.00    2   15    1.0   27    1.0
   10.00    1   16    1.0
